%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data,field.variance
1648134046450427259,350,1562884228101045184,fcu,98589.99633789062,0.0
1648134046467998796,351,1562884228118045184,fcu,98589.99633789062,0.0
1648134046485328827,352,1562884228135120192,fcu,98589.99633789062,0.0
1648134046509970284,353,1562884228161120192,fcu,98550.0,0.0
1648134046530844690,354,1562884228182120192,fcu,98550.0,0.0
1648134046551879496,355,1562884228202120192,fcu,98550.0,0.0
1648134046568107005,356,1562884228218120192,fcu,98550.0,0.0
1648134046590484807,357,1562884228241342400,fcu,98600.0,0.0
1648134046605206875,358,1562884228255342400,fcu,98600.0,0.0
1648134046628642394,359,1562884228278342400,fcu,98600.0,0.0
1648134046649118595,360,1562884228301342400,fcu,98600.0,0.0
1648134046670811397,361,1562884228321342400,fcu,98600.0,0.0
1648134046690963391,362,1562884228341222848,fcu,98529.99877929688,0.0
1648134046709469557,363,1562884228358222848,fcu,98529.99877929688,0.0
1648134046729346611,364,1562884228381222848,fcu,98529.99877929688,0.0
1648134046747746991,365,1562884228398222848,fcu,98529.99877929688,0.0
1648134046768981676,366,1562884228420222848,fcu,98529.99877929688,0.0
1648134046790033809,367,1562884228441302464,fcu,98579.99877929688,0.0
1648134046807400906,368,1562884228458302464,fcu,98579.99877929688,0.0
1648134046828529988,369,1562884228478302464,fcu,98579.99877929688,0.0
1648134046849013625,370,1562884228500302464,fcu,98579.99877929688,0.0
1648134046870245134,371,1562884228521302464,fcu,98579.99877929688,0.0
1648134046887701844,372,1562884228538277632,fcu,98579.99877929688,0.0
1648134046907853959,373,1562884228558277632,fcu,98579.99877929688,0.0
1648134046929600033,374,1562884228581277632,fcu,98579.99877929688,0.0
1648134046949361310,375,1562884228600277632,fcu,98579.99877929688,0.0
1648134046967564628,376,1562884228618277632,fcu,98579.99877929688,0.0
1648134046985290214,377,1562884228635418176,fcu,98579.99877929688,0.0
1648134047009560374,378,1562884228661418176,fcu,98569.9951171875,0.0
1648134047027947112,379,1562884228679418176,fcu,98569.9951171875,0.0
1648134047048211193,380,1562884228698418176,fcu,98569.9951171875,0.0
1648134047067993284,381,1562884228718418176,fcu,98569.9951171875,0.0
1648134047091133798,382,1562884228741067968,fcu,98569.9951171875,0.0
1648134047109192456,383,1562884228758067968,fcu,98569.9951171875,0.0
1648134047130046882,384,1562884228781067968,fcu,98569.9951171875,0.0
1648134047149217526,385,1562884228800067968,fcu,98569.9951171875,0.0
1648134047167863727,386,1562884228818067968,fcu,98569.9951171875,0.0
1648134047191537347,387,1562884228841067968,fcu,98569.9951171875,0.0
1648134047209332667,388,1562884228860067968,fcu,98569.9951171875,0.0
1648134047225554817,389,1562884228875067968,fcu,98569.9951171875,0.0
1648134047248064242,390,1562884228898067968,fcu,98569.9951171875,0.0
1648134047268891926,391,1562884228918067968,fcu,98569.9951171875,0.0
1648134047290578061,392,1562884228941508544,fcu,98589.99633789062,0.0
1648134047307694900,393,1562884228958508544,fcu,98589.99633789062,0.0
1648134047327653296,394,1562884228978508544,fcu,98589.99633789062,0.0
1648134047347977861,395,1562884228998508544,fcu,98589.99633789062,0.0
1648134047369552924,396,1562884229021508544,fcu,98589.99633789062,0.0
1648134047390722695,397,1562884229041440704,fcu,98609.99755859375,0.0
